tariefeenheid,tweede_klas_vol_tarief,tweede_klas_20_korting,tweede_klas_40_korting,eerste_klas_vol_tarief,eerste_klas_20_korting,eerste_klas_40_korting
0,2.20,1.80,1.30,3.70,3.00,2.20
1,2.20,1.80,1.30,3.70,3.00,2.20
2,2.20,1.80,1.30,3.70,3.00,2.20
3,2.20,1.80,1.30,3.70,3.00,2.20
4,2.20,1.80,1.30,3.70,3.00,2.20
5,2.20,1.80,1.30,3.70,3.00,2.20
6,2.20,1.80,1.30,3.70,3.00,2.20
7,2.20,1.80,1.30,3.70,3.00,2.20
8,2.20,1.80,1.30,3.70,3.00,2.20
9,2.50,2.00,1.50,4.30,3.40,2.60
10,2.70,2.20,1.60,4.60,3.70,2.80
11,2.80,2.20,1.70,4.80,3.80,2.90
12,3.00,2.40,1.80,5.10,4.10,3.10
13,3.10,2.50,1.90,5.30,4.20,3.20
14,3.30,2.60,2.00,5.60,4.50,3.40
15,3.50,2.80,2.10,6.00,4.80,3.60
16,3.60,2.90,2.20,6.10,4.90,3.70
17,3.80,3.00,2.30,6.50,5.20,3.90
18,4.00,3.20,2.40,6.80,5.40,4.10
19,4.20,3.40,2.50,7.10,5.70,4.30
20,4.30,3.40,2.60,7.30,5.80,4.40
21,4.50,3.60,2.70,7.70,6.20,4.60
22,4.60,3.70,2.80,7.80,6.20,4.70
23,4.80,3.80,2.90,8.20,6.60,4.90
24,5.00,4.00,3.00,8.50,6.80,5.10
25,5.10,4.10,3.10,8.70,7.00,5.20
26,5.30,4.20,3.20,9.00,7.20,5.40
27,5.50,4.40,3.30,9.40,7.50,5.60
28,5.60,4.50,3.40,9.50,7.60,5.70
29,5.80,4.60,3.50,9.90,7.90,5.90
30,6.00,4.80,3.60,10.20,8.20,6.10
31,6.20,5.00,3.70,10.50,8.40,6.30
32,6.30,5.00,3.80,10.70,8.60,6.40
33,6.50,5.20,3.90,11.10,8.90,6.70
34,6.70,5.40,4.00,11.40,9.10,6.80
35,6.80,5.40,4.10,11.60,9.30,7.00
36,7.00,5.60,4.20,11.90,9.50,7.10
37,7.20,5.80,4.30,12.20,9.80,7.30
38,7.30,5.80,4.40,12.40,9.90,7.40
39,7.50,6.00,4.50,12.80,10.20,7.70
40,7.70,6.20,4.60,13.10,10.50,7.90
41,7.80,6.20,4.70,13.30,10.60,8.00
42,8.00,6.40,4.80,13.60,10.90,8.20
43,8.20,6.60,4.90,13.90,11.10,8.30
44,8.30,6.60,5.00,14.10,11.30,8.50
45,8.50,6.80,5.10,14.50,11.60,8.70
46,8.70,7.00,5.20,14.80,11.80,8.90
47,8.80,7.00,5.30,15.00,12.00,9.00
48,9.00,7.20,5.40,15.30,12.20,9.20
49,9.20,7.40,5.50,15.60,12.50,9.40
50,9.30,7.40,5.60,15.80,12.60,9.50
51,9.50,7.60,5.70,16.20,13.00,9.70
52,9.70,7.80,5.80,16.50,13.20,9.90
53,9.80,7.80,5.90,16.70,13.40,10.00
54,10.00,8.00,6.00,17.00,13.60,10.20
55,10.20,8.20,6.10,17.30,13.80,10.40
56,10.30,8.20,6.20,17.50,14.00,10.50
57,10.50,8.40,6.30,17.90,14.30,10.70
58,10.70,8.60,6.40,18.20,14.60,10.90
59,10.80,8.60,6.50,18.40,14.70,11.00
60,11.00,8.80,6.60,18.70,15.00,11.20
61,11.10,8.90,6.70,18.90,15.10,11.30
62,11.30,9.00,6.80,19.20,15.40,11.50
63,11.50,9.20,6.90,19.60,15.70,11.80
64,11.60,9.30,7.00,19.70,15.80,11.80
65,11.80,9.40,7.10,20.10,16.10,12.10
