gemeente,1990,1995,2000,2005,2009,2010,2011,2012,2013
Aa en Hunze,78510,91987,78680,85280,84473,85328,73527,71092,75263
Aalburg,21817,21454,20555,23374,22462,19658,20295,20394,19520
Aalsmeer,31970,30207,29898,34543,34529,33384,31127,31038,30751
Aalten,42878,43515,46270,49943,40885,37822,37130,34788,33868
Achtkarspelen,47423,47645,50406,53018,45140,42140,42060,49031,47689
Alblasserdam,45345,46656,36692,37858,36784,44543,34149,40816,40301
Albrandswaard,31424,29283,36085,41785,36549,36339,37959,39476,50699
Alkmaar,132841,126608,152025,169158,170716,144643,149477,152898,150239
Almelo,77116,89225,87662,89373,134710,140865,145083,139463,137518
Almere,149662,183819,260421,286945,321880,310966,351068,308264,301731
Alphen aan den Rijn,149436,132638,129679,168493,164528,157022,151955,151883,151331
Alphen-Chaam,23164,22565,23739,27963,24479,22547,22956,21861,20917
Ameland,5125,4927,3240,3721,4023,2704,3738,4243,4047
Amersfoort,178431,214124,276374,304821,310918,325074,330844,320021,319121
Amstelveen,103535,105402,117145,114388,127465,122480,111807,112494,122486
Amsterdam,895978,932677,1014908,1002601,1073025,1042516,952499,1005015,1015453
Apeldoorn,367170,390222,444766,439007,484529,486997,501571,479401,467165
Appingedam,15781,17037,17236,18933,16464,16666,15667,16795,16964
Arnhem,272326,300367,348531,339111,388105,385844,398792,393461,380603
Assen,78276,87108,88271,85649,115345,115245,120720,117302,114534
Asten,45038,59412,68555,70092,75929,68281,73770,73942,73169
Baarle-Nassau,16525,16242,14410,16185,11966,10952,11006,10646,10605
Baarn,55810,58266,68190,68774,71696,69984,73199,73537,71888
Barendrecht,66730,82939,109920,115198,145894,150535,136276,137719,130157
Barneveld,150959,180834,209359,219097,225670,234190,241450,230192,223265
Bedum,16581,16643,17369,18776,16453,15974,15134,14373,12379
Beek,36899,45847,48813,49209,56734,58191,63447,60837,61839
Beemster,55797,67015,77729,79302,78642,77572,78661,74737,74552
Beesel,20737,20436,13786,22782,25385,29829,34930,33072,31910
Bellingwedde,22971,21692,23437,26643,16335,15105,15031,15399,17863
Bergeijk,24213,22511,22198,23841,38327,31994,33926,31564,29637
Bergen (L.),46659,44168,44481,52424,33356,33125,31813,33314,33583
Bergen (NH.),48476,45631,43199,45703,42694,41365,37145,40750,40872
Bergen op Zoom,78224,77309,111800,116370,121953,121662,133873,135654,129663
Berkelland,94291,96819,96296,101981,89985,85225,72255,73432,71910
Bernheze,69272,77757,79138,86470,105772,108506,115420,112426,110805
Best,52679,43856,75846,80673,78847,81411,88565,85917,84944
Beuningen,95268,112552,115509,136200,118129,124512,128896,125666,120368
Beverwijk,41312,40204,35538,44809,56314,57006,58839,59466,56828
Binnenmaas,102140,100743,111090,114299,113736,113009,110940,108381,111340
Bladel,41975,47950,41645,41251,45188,45437,45672,46575,44988
Blaricum,31201,38713,18565,21517,28298,28506,30576,29427,28743
Bloemendaal,25337,21814,25125,29532,29891,28277,27235,26040,23548
